Company Name,Project Name,Invoice Amount,Project Date,Invoice Date,Status,Category
"Lewis, Cole and Carroll",engineer front-end channels,1837.92,2024-05-17,2024-06-16,Paid,Creative Consultancy
Proctor Inc,expedite visionary e-markets,9074.94,2024-09-30,2024-10-30,Confirmed,Videography
Morris Group,extend cross-platform synergies,9103.76,2024-11-16,2024-12-16,Proposed,Creative Consultancy
"Paul, Tucker and Peck",expedite cutting-edge synergies,6697.91,2024-06-20,2024-07-20,Paid,Creative Consultancy
Conway-Gonzalez,iterate 24/7 supply-chains,4051.27,2024-07-07,2024-08-06,Paid,Videography
Schultz Group,implement bricks-and-clicks convergence,4142.89,2024-10-17,2024-11-16,Confirmed,Videography
Johnson-Miller,target front-end partnerships,7533.6,2025-01-31,2025-03-02,Proposed,Creative Consultancy
Reed Group,morph proactive functionalities,9073.99,2024-03-11,2024-04-10,Paid,Photography
Lowe-Hunter,disintermediate transparent technologies,8983.78,2025-01-12,2025-02-11,Confirmed,Creative Consultancy
"Jefferson, Erickson and Powers",envisioneer cross-platform systems,8018.88,2024-10-19,2024-11-18,Confirmed,Creative Consultancy
Moore-Roach,disintermediate ubiquitous paradigms,6778.28,2024-07-04,2024-08-03,Paid,Creative Consultancy
Hahn and Sons,envisioneer wireless content,1757.26,2024-12-21,2025-01-20,Confirmed,Creative Consultancy
Moore-Austin,implement cross-platform platforms,2454.66,2025-01-07,2025-02-06,Confirmed,Videography
Casey Inc,brand turn-key interfaces,9086.99,2025-02-02,2025-03-04,Proposed,Creative Consultancy
Calderon PLC,transform back-end metrics,6457.86,2024-09-15,2024-10-15,Confirmed,Photography
Green-Garner,strategize strategic action-items,1082.77,2024-09-28,2024-10-28,Proposed,Videography
Taylor-Matthews,productize 24/365 portals,1913.24,2024-11-25,2024-12-25,Proposed,Photography
Wilkerson-Lewis,implement impactful convergence,6971.52,2024-11-22,2024-12-22,Proposed,Photography
Ross Inc,scale killer schemas,1045.55,2024-12-18,2025-01-17,Proposed,Photography
Johnson-Shields,synergize killer schemas,2447.27,2024-03-31,2024-04-30,Paid,Photography
Wright-Hill,utilize innovative web services,5938.6,2024-09-21,2024-10-21,Confirmed,Videography
Cox-Webb,engineer out-of-the-box solutions,7227.06,2024-05-03,2024-06-02,Paid,Videography
Alvarez-Reese,evolve cross-media e-commerce,6867.65,2024-07-05,2024-08-04,Paid,Photography
Vaughn Group,scale out-of-the-box e-commerce,3018.42,2025-02-14,2025-03-16,Proposed,Photography
Gray-Copeland,aggregate 24/365 ROI,7409.61,2024-10-06,2024-11-05,Proposed,Videography
"Escobar, Freeman and Woods",generate global e-services,3135.24,2024-12-03,2025-01-02,Proposed,Videography
Jenkins Group,iterate synergistic infrastructures,3928.6,2024-08-08,2024-09-07,Complete,Videography
Vasquez PLC,synthesize compelling infrastructures,7718.42,2024-07-05,2024-08-04,Paid,Creative Consultancy
Goodwin Ltd,aggregate cross-platform communities,6846.7,2024-03-18,2024-04-17,Paid,Creative Consultancy
Key Inc,transform killer bandwidth,8643.01,2024-10-17,2024-11-16,Confirmed,Creative Consultancy
Harmon Group,seize bricks-and-clicks synergies,6918.52,2024-05-19,2024-06-18,Paid,Photography
"Hansen, Gonzalez and Garcia",engineer seamless e-markets,6114.78,2024-09-10,2024-10-10,Confirmed,Creative Consultancy
Carter-Blankenship,utilize mission-critical relationships,1843.07,2024-04-22,2024-05-22,Paid,Photography
"Gonzalez, Turner and Cooper",grow global interfaces,4309.44,2024-06-20,2024-07-20,Paid,Photography
Patton LLC,facilitate bleeding-edge e-business,3386.82,2024-08-14,2024-09-13,Complete,Creative Consultancy
Petty-Martinez,generate user-centric convergence,3195.91,2024-10-17,2024-11-16,Confirmed,Photography
Obrien Group,incubate best-of-breed eyeballs,9757.09,2025-02-17,2025-03-19,Confirmed,Creative Consultancy
"Williamson, Atkinson and Lucero",engage sticky interfaces,4537.88,2024-06-06,2024-07-06,Paid,Creative Consultancy
Casey-Franco,transition granular web services,9028.42,2024-05-04,2024-06-03,Paid,Videography
Rodriguez-Rivera,monetize integrated paradigms,6680.25,2024-10-04,2024-11-03,Proposed,Creative Consultancy
Douglas Inc,orchestrate synergistic communities,8153.3,2024-05-20,2024-06-19,Paid,Videography
Butler-Erickson,empower killer content,5523.73,2024-03-11,2024-04-10,Paid,Creative Consultancy
Day-Miller,generate sticky web-readiness,6192.13,2024-11-01,2024-12-01,Proposed,Creative Consultancy
Phillips-Smith,leverage distributed info-mediaries,5432.66,2024-12-30,2025-01-29,Confirmed,Videography
Warren-Harris,brand distributed initiatives,2757.19,2024-09-20,2024-10-20,Proposed,Videography
Mendez Group,optimize world-class applications,7502.07,2024-11-22,2024-12-22,Proposed,Creative Consultancy
"Franco, Nicholson and Salazar",envisioneer transparent markets,3526.95,2024-09-26,2024-10-26,Proposed,Photography
Grant-Ortiz,maximize integrated networks,1218.84,2024-10-18,2024-11-17,Confirmed,Videography
Skinner and Sons,cultivate next-generation metrics,6809.25,2024-04-10,2024-05-10,Paid,Photography
Steele Group,evolve customized synergies,2594.0,2024-03-02,2024-04-01,Paid,Photography
"Miller, Thompson and White",scale magnetic vortals,9464.13,2024-11-30,2024-12-30,Confirmed,Photography
Lawrence-Phillips,unleash next-generation e-commerce,9585.36,2024-09-14,2024-10-14,Proposed,Videography
Beltran PLC,brand collaborative mindshare,9233.78,2024-04-02,2024-05-02,Paid,Photography
Hurst Ltd,orchestrate mission-critical systems,4331.43,2024-12-26,2025-01-25,Confirmed,Videography
Johnson-Rice,innovate robust ROI,1139.11,2024-06-16,2024-07-16,Paid,Photography
Green-Munoz,innovate 24/365 paradigms,9354.87,2025-02-16,2025-03-18,Confirmed,Creative Consultancy
Cobb-Robinson,productize plug-and-play networks,4853.66,2024-03-02,2024-04-01,Paid,Creative Consultancy
Vincent-Spencer,cultivate strategic platforms,9699.89,2024-09-27,2024-10-27,Confirmed,Videography
Dixon Ltd,mesh user-centric info-mediaries,9672.58,2024-12-23,2025-01-22,Confirmed,Creative Consultancy
Holland-Hardin,incentivize extensible communities,8677.09,2024-11-24,2024-12-24,Confirmed,Creative Consultancy
Duffy Group,syndicate virtual synergies,3650.04,2024-10-31,2024-11-30,Proposed,Photography
Ellis-Bradford,embrace distributed info-mediaries,4465.88,2024-12-31,2025-01-30,Confirmed,Videography
Conway PLC,seize vertical partnerships,8660.23,2024-03-05,2024-04-04,Paid,Photography
Fry LLC,deploy cutting-edge infrastructures,3852.3,2025-01-12,2025-02-11,Proposed,Photography
"Clark, Clark and Perez",incentivize revolutionary supply-chains,2525.43,2025-02-03,2025-03-05,Proposed,Photography
"Baker, Rice and Rhodes",leverage vertical synergies,6011.21,2025-01-02,2025-02-01,Confirmed,Photography
Martinez Inc,leverage distributed web-readiness,9425.39,2024-04-11,2024-05-11,Paid,Photography
"Gomez, Sandoval and Camacho",scale world-class experiences,7264.27,2024-07-18,2024-08-17,Paid,Photography
Hart-Lynn,reinvent sticky bandwidth,6130.55,2024-07-12,2024-08-11,Paid,Photography
Long-Martin,optimize end-to-end e-business,1874.59,2024-07-01,2024-07-31,Paid,Videography
Livingston Inc,iterate plug-and-play relationships,6535.07,2024-03-19,2024-04-18,Paid,Creative Consultancy
Ali PLC,redefine killer e-business,9910.48,2024-06-18,2024-07-18,Paid,Photography
Todd LLC,grow clicks-and-mortar applications,2260.76,2025-01-02,2025-02-01,Proposed,Photography
"Hunter, Castaneda and Lopez",innovate synergistic convergence,5664.97,2024-12-18,2025-01-17,Proposed,Photography
"Martinez, Crawford and Ramsey",mesh customized e-business,8896.36,2024-11-08,2024-12-08,Proposed,Photography
"Collins, Rowe and Rogers",harness best-of-breed functionalities,7666.92,2024-12-08,2025-01-07,Confirmed,Photography
Kim-Osborne,innovate revolutionary info-mediaries,7273.14,2024-10-25,2024-11-24,Confirmed,Photography
"Farrell, Paul and Foley",grow collaborative web services,7322.36,2024-12-01,2024-12-31,Proposed,Creative Consultancy
Palmer PLC,embrace bricks-and-clicks interfaces,4235.42,2024-12-20,2025-01-19,Confirmed,Creative Consultancy
Hale Inc,embrace B2C content,3642.33,2024-04-03,2024-05-03,Paid,Photography
Medina Inc,monetize cross-platform niches,8284.25,2024-03-02,2024-04-01,Paid,Creative Consultancy
Jones-Melendez,streamline front-end bandwidth,8291.02,2024-03-17,2024-04-16,Paid,Videography
Harris-Heath,grow frictionless e-business,8803.65,2024-09-07,2024-10-07,Confirmed,Photography
"Johnson, Everett and Morris",expedite compelling users,9219.16,2024-08-03,2024-09-02,Complete,Videography
Mayer-Wise,iterate customized vortals,5602.08,2024-04-05,2024-05-05,Paid,Videography
"Martin, Elliott and Hall",whiteboard intuitive niches,5513.65,2024-09-11,2024-10-11,Confirmed,Photography
Mullins Ltd,embrace global solutions,8184.66,2024-09-15,2024-10-15,Confirmed,Creative Consultancy
Barrera PLC,matrix dynamic applications,6849.68,2024-06-12,2024-07-12,Paid,Videography
Gross-Henry,visualize ubiquitous e-markets,7317.7,2024-05-08,2024-06-07,Paid,Photography
"Sharp, Rogers and Johnson",integrate scalable e-commerce,8162.13,2024-07-12,2024-08-11,Paid,Videography
Burch-Parker,brand distributed experiences,9010.05,2024-04-02,2024-05-02,Paid,Videography
Jones PLC,transform collaborative eyeballs,4041.96,2024-11-18,2024-12-18,Proposed,Videography
Lynch and Sons,implement user-centric solutions,4380.25,2025-02-04,2025-03-06,Proposed,Videography
Rivas-Fox,disintermediate intuitive niches,1845.84,2024-06-26,2024-07-26,Paid,Creative Consultancy
Holmes Ltd,strategize one-to-one channels,6204.52,2024-10-01,2024-10-31,Confirmed,Videography
Walker Ltd,evolve one-to-one communities,1323.48,2024-10-28,2024-11-27,Confirmed,Videography
"Orozco, Morris and Williamson",enhance value-added e-tailers,5190.38,2024-12-23,2025-01-22,Proposed,Videography
Chandler-Fuentes,e-enable leading-edge interfaces,5883.8,2024-09-12,2024-10-12,Proposed,Creative Consultancy
Swanson PLC,transform plug-and-play portals,3578.87,2024-09-12,2024-10-12,Confirmed,Videography
Santos Ltd,enhance strategic markets,6317.5,2024-08-24,2024-09-23,Complete,Videography
"Turner, Crawford and Palmer",seize vertical e-services,1274.5,2024-06-01,2024-07-01,Paid,Creative Consultancy
"Nguyen, Morgan and Walton",generate synergistic models,1336.13,2024-03-20,2024-04-19,Paid,Creative Consultancy
Davis-Murray,matrix clicks-and-mortar e-tailers,8403.41,2024-10-01,2024-10-31,Proposed,Creative Consultancy
Walton-Miller,enable 24/7 bandwidth,4241.72,2024-11-26,2024-12-26,Confirmed,Videography
Morales Ltd,seize rich supply-chains,2143.54,2025-02-05,2025-03-07,Confirmed,Creative Consultancy
Anderson and Sons,monetize granular e-markets,5700.19,2024-12-09,2025-01-08,Proposed,Creative Consultancy
Smith-Rogers,deliver seamless mindshare,7929.94,2024-06-11,2024-07-11,Paid,Videography
Moore PLC,embrace best-of-breed e-services,2942.39,2025-01-31,2025-03-02,Proposed,Creative Consultancy
"Smith, Byrd and Simmons",harness compelling partnerships,6606.01,2024-08-19,2024-09-18,Complete,Videography
Horton-Brown,utilize scalable channels,1768.13,2024-09-16,2024-10-16,Confirmed,Photography
Lewis-Smith,synthesize viral supply-chains,1465.14,2024-12-31,2025-01-30,Confirmed,Creative Consultancy
"Wise, Galloway and Leonard",re-contextualize vertical deliverables,5782.19,2024-11-10,2024-12-10,Proposed,Photography
"Moran, Cervantes and Bruce",enhance holistic web services,5865.72,2024-12-14,2025-01-13,Confirmed,Videography
"Oconnor, Salinas and Craig",incentivize scalable systems,6736.87,2024-04-20,2024-05-20,Paid,Creative Consultancy
"Dickson, Bailey and Lopez",benchmark viral schemas,7534.82,2025-01-16,2025-02-15,Proposed,Videography
"Martin, Day and Hood",exploit killer networks,9782.67,2024-06-16,2024-07-16,Paid,Photography
Williams Inc,streamline bleeding-edge markets,5646.7,2024-05-19,2024-06-18,Paid,Videography
Lewis-Kelly,generate turn-key e-services,3906.61,2024-11-30,2024-12-30,Confirmed,Creative Consultancy
Roman Inc,embrace back-end deliverables,8156.68,2024-10-27,2024-11-26,Proposed,Creative Consultancy
Mcmahon and Sons,evolve interactive bandwidth,3437.49,2024-05-17,2024-06-16,Paid,Photography
"Pena, Romero and Conley",extend out-of-the-box vortals,4950.74,2025-01-04,2025-02-03,Proposed,Videography
"Marsh, Willis and White",repurpose collaborative networks,1706.11,2025-01-16,2025-02-15,Proposed,Creative Consultancy
Wilson-Holt,enhance revolutionary e-commerce,1228.16,2024-03-08,2024-04-07,Paid,Photography
Davidson Inc,utilize visionary info-mediaries,9663.84,2024-03-15,2024-04-14,Paid,Creative Consultancy
Johnson-Jones,repurpose mission-critical action-items,8523.82,2024-05-22,2024-06-21,Paid,Creative Consultancy
Whitaker-Sandoval,generate interactive e-tailers,7263.77,2024-08-18,2024-09-17,Complete,Videography
"Brown, Gonzalez and Estrada",incentivize innovative systems,4680.58,2024-05-26,2024-06-25,Paid,Creative Consultancy
Hines-Nguyen,whiteboard next-generation metrics,2559.65,2024-10-08,2024-11-07,Confirmed,Videography
"Johns, Stewart and Russo",implement viral markets,2407.93,2024-09-07,2024-10-07,Confirmed,Creative Consultancy
Preston-Contreras,visualize extensible methodologies,3252.19,2024-03-31,2024-04-30,Paid,Photography
Smith-Stephens,utilize plug-and-play action-items,5943.04,2024-06-21,2024-07-21,Paid,Creative Consultancy
Crawford-Johnston,harness web-enabled architectures,7431.36,2024-10-13,2024-11-12,Proposed,Videography
"Baker, Sanders and Bean",incubate cross-platform architectures,6941.78,2024-05-27,2024-06-26,Paid,Videography
Meadows LLC,drive seamless info-mediaries,3519.41,2024-09-20,2024-10-20,Confirmed,Photography
"Gonzalez, Freeman and Russell",enable turn-key functionalities,9593.79,2024-09-03,2024-10-03,Proposed,Creative Consultancy
Oliver LLC,deliver clicks-and-mortar schemas,7641.07,2024-03-11,2024-04-10,Paid,Creative Consultancy
"Long, Mcpherson and Brown",engineer back-end communities,5989.19,2024-05-05,2024-06-04,Paid,Photography
"Duncan, Perez and Joyce",orchestrate out-of-the-box paradigms,6505.49,2024-08-18,2024-09-17,Complete,Creative Consultancy
Dickerson PLC,harness mission-critical synergies,4776.4,2024-11-18,2024-12-18,Proposed,Creative Consultancy
Green Group,enable robust metrics,3229.58,2024-03-07,2024-04-06,Paid,Videography
Bryan-Gill,cultivate e-business supply-chains,4203.75,2024-12-28,2025-01-27,Confirmed,Creative Consultancy
"Vazquez, Holland and Fritz",orchestrate dynamic initiatives,7820.61,2024-11-13,2024-12-13,Confirmed,Creative Consultancy
Buchanan-Wang,transform bricks-and-clicks functionalities,1129.54,2024-04-23,2024-05-23,Paid,Photography
Jackson PLC,integrate scalable e-services,2044.65,2025-01-12,2025-02-11,Proposed,Photography
Gomez Group,evolve proactive systems,1414.02,2024-06-10,2024-07-10,Paid,Videography
Lopez PLC,morph strategic architectures,1366.56,2024-07-11,2024-08-10,Paid,Creative Consultancy
Singh Ltd,mesh holistic e-markets,8699.15,2025-01-06,2025-02-05,Confirmed,Creative Consultancy
Williamson-Combs,unleash viral initiatives,7332.92,2024-06-15,2024-07-15,Paid,Creative Consultancy
"Baker, Drake and Garcia",reinvent interactive e-business,5267.56,2024-06-12,2024-07-12,Paid,Videography
Crawford Group,streamline ubiquitous bandwidth,1880.51,2024-05-09,2024-06-08,Paid,Videography
Johnson Inc,reinvent killer e-business,5424.54,2024-12-15,2025-01-14,Confirmed,Photography
Taylor-Alvarez,aggregate ubiquitous interfaces,5261.25,2024-07-11,2024-08-10,Paid,Videography
Kemp Ltd,engage clicks-and-mortar action-items,2558.82,2024-10-02,2024-11-01,Proposed,Creative Consultancy
"Kline, Ortiz and Hansen",re-contextualize enterprise ROI,4904.66,2024-08-13,2024-09-12,Complete,Creative Consultancy
Hull-Harris,generate real-time relationships,4586.54,2024-11-08,2024-12-08,Proposed,Videography
"Anderson, Hines and Ramos",redefine one-to-one platforms,6542.65,2024-06-19,2024-07-19,Paid,Creative Consultancy
"Day, Preston and Smith",redefine magnetic eyeballs,6715.84,2024-10-15,2024-11-14,Confirmed,Creative Consultancy
Mullins-Singh,architect impactful methodologies,1407.74,2024-06-15,2024-07-15,Paid,Videography
Leblanc-Salazar,engage rich action-items,4371.51,2024-12-11,2025-01-10,Proposed,Videography
Carroll-Kelly,evolve ubiquitous portals,6632.74,2024-03-07,2024-04-06,Paid,Creative Consultancy
"Pierce, Simpson and Chapman",streamline plug-and-play methodologies,5528.23,2024-10-02,2024-11-01,Proposed,Creative Consultancy
"Duffy, Bell and Wagner",embrace best-of-breed functionalities,8708.41,2024-06-12,2024-07-12,Paid,Creative Consultancy
Barton PLC,seize leading-edge networks,6928.24,2025-01-13,2025-02-12,Confirmed,Photography
"Friedman, Murphy and Richardson",enhance granular e-services,2466.41,2024-06-17,2024-07-17,Paid,Photography
"Melton, Lopez and Castro",harness cutting-edge channels,1635.12,2024-03-04,2024-04-03,Paid,Photography
"Ford, Trevino and Johnson",expedite vertical paradigms,6781.77,2024-03-08,2024-04-07,Paid,Videography
"Williams, Woodward and Johnson",re-contextualize collaborative networks,1238.6,2024-10-26,2024-11-25,Proposed,Photography
Hines Group,whiteboard synergistic systems,6271.98,2024-10-13,2024-11-12,Proposed,Videography
Holland Ltd,extend B2B paradigms,9462.07,2024-12-07,2025-01-06,Confirmed,Videography
Walls LLC,scale open-source markets,6179.27,2025-01-06,2025-02-05,Confirmed,Photography
"Jones, Moore and Barnett",unleash compelling schemas,4493.53,2024-05-16,2024-06-15,Paid,Photography
Hubbard Inc,transition cross-platform supply-chains,6789.59,2024-09-02,2024-10-02,Proposed,Photography
"Thomas, Murray and Gonzalez",revolutionize out-of-the-box platforms,5124.28,2024-07-08,2024-08-07,Paid,Creative Consultancy
Hanson-Franklin,reinvent user-centric partnerships,5910.55,2024-04-28,2024-05-28,Paid,Photography
Davis-Conway,drive back-end e-services,9473.18,2024-05-19,2024-06-18,Paid,Creative Consultancy
Mckinney-Villa,strategize vertical methodologies,4474.92,2024-06-28,2024-07-28,Paid,Videography
Thomas PLC,architect proactive synergies,9650.72,2024-08-23,2024-09-22,Complete,Creative Consultancy
"Barr, Pruitt and Barnes",generate customized interfaces,9148.16,2024-08-13,2024-09-12,Complete,Photography
Williams-Gutierrez,syndicate value-added e-tailers,2762.12,2025-01-04,2025-02-03,Proposed,Videography
Patel Inc,re-intermediate plug-and-play applications,1624.25,2024-12-26,2025-01-25,Confirmed,Videography
Hill Group,incubate transparent e-services,1907.0,2025-01-08,2025-02-07,Confirmed,Videography
Fletcher Ltd,evolve back-end partnerships,1164.0,2024-07-18,2024-08-17,Paid,Creative Consultancy
Ruiz-Diaz,benchmark ubiquitous e-markets,1849.99,2024-06-07,2024-07-07,Paid,Photography
Carroll Group,cultivate dot-com architectures,7147.06,2024-03-30,2024-04-29,Paid,Videography
Anderson-Salazar,engage next-generation action-items,1640.7,2024-10-23,2024-11-22,Confirmed,Videography
Kerr-Huffman,aggregate synergistic technologies,3870.78,2024-12-02,2025-01-01,Confirmed,Videography
Brewer Inc,monetize value-added e-tailers,8603.88,2025-01-16,2025-02-15,Proposed,Creative Consultancy
Taylor-Reynolds,maximize revolutionary info-mediaries,1209.45,2024-08-09,2024-09-08,Complete,Creative Consultancy
Brown-Jones,morph granular eyeballs,8330.22,2024-06-04,2024-07-04,Paid,Photography
Woodard-Henderson,transform global action-items,3536.69,2025-02-18,2025-03-20,Confirmed,Creative Consultancy
Mendez Inc,grow integrated e-business,2063.48,2024-04-25,2024-05-25,Paid,Videography
Evans-Holder,optimize proactive e-commerce,7270.63,2024-09-16,2024-10-16,Confirmed,Photography
Perez-Cohen,iterate value-added architectures,6660.49,2024-11-18,2024-12-18,Proposed,Videography
Jackson-Martin,deploy leading-edge metrics,8897.25,2024-03-22,2024-04-21,Paid,Videography
Spence and Sons,synergize user-centric supply-chains,7615.64,2024-06-19,2024-07-19,Paid,Creative Consultancy
Hodge-Hunter,implement one-to-one ROI,8231.33,2024-06-17,2024-07-17,Paid,Photography
Thomas-Navarro,architect value-added platforms,3538.31,2024-10-18,2024-11-17,Confirmed,Creative Consultancy
Brown Group,incubate turn-key deliverables,2596.96,2024-06-27,2024-07-27,Paid,Creative Consultancy
Vincent Inc,cultivate 24/7 models,7755.53,2024-07-19,2024-08-18,Paid,Photography
Williams-Hernandez,generate viral technologies,8261.51,2024-12-01,2024-12-31,Proposed,Videography
